curso,modulo,id_modulo,recurso,medio,tipo,lugar,criterio,metadatos_completos
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,18,oficio-tramos.png?v=3,foto,E2 AE3 etapa 5 (choice),"Cubica elementos y materiales de acuerdo a los requerimientos del lugar, indicados en el plano respectivo mediante un software de diseño para determinar cantidad de materiales y elementos a emplear en la ejecución del proyecto. Se consideran las indicaciones de la Norma Chilena relativa a Cubicaciones (NCh353/2000), aplicada a proyectos de refrigeración, climatización, calefacción y ventilación.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,19,oficio-tramos.png?v=3,foto,E2 AE3 etapa 6 (reflect),"Cubica elementos y materiales de acuerdo a los requerimientos del lugar, indicados en el plano respectivo mediante un software de diseño para determinar cantidad de materiales y elementos a emplear en la ejecución del proyecto. Se consideran las indicaciones de la Norma Chilena relativa a Cubicaciones (NCh353/2000), aplicada a proyectos de refrigeración, climatización, calefacción y ventilación.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,20,oficio-drenaje.png?v=3,foto,E3 Situación 1,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,21,oficio-plano-leyenda.png?v=3,foto,E3 Situación 2,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,22,oficio-cruce.png?v=3,foto,E3 Situación 3,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,23,oficio-drenaje.png?v=3,foto,E3 Situación 4,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,24,oficio-acceso-cm.png?v=3,foto,E3 Situación 5,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,25,oficio-drenaje.png?v=3,foto,E3 Situación 6,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,26,oficio-escala.png?v=3,foto,E3 Situación 7,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,27,oficio-visor-4c.png?v=3,foto,E3 Situación 8,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,28,oficio-plano-leyenda.png?v=3,foto,E3 Situación 9,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,29,oficio-drenaje.png?v=3,foto,E3 Situación 10,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,30,oficio-tuberias.png?v=3,foto,E3 Situación 11,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,31,oficio-plano-leyenda.png?v=3,foto,E3 Situación 12,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,32,oficio-cruce.png?v=3,foto,E3 Situación 13,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,33,oficio-plano-leyenda.png?v=3,foto,E3 Situación 14,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,34,oficio-drenaje.png?v=3,foto,E3 Situación 15,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,35,oficio-plano-leyenda.png?v=3,3d-procedure,E3 Situación final 3D,"Recorrer el procedimiento (armar, instalar, diagnosticar) en el equipo",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,36,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 1,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,37,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 2,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,38,oficio-cruce.png?v=3,foto,E4 Ítem 3,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,39,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 4,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,40,oficio-equipo-ctrl.png?v=3,foto,E4 Ítem 5,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,41,oficio-drenaje.png?v=3,foto,E4 Ítem 6,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,42,oficio-escala.png?v=3,foto,E4 Ítem 7,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,43,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 8,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,44,oficio-equipo-ctrl.png?v=3,foto,E4 Ítem 9,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,45,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 10,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,46,oficio-tuberias.png?v=3,foto,E4 Ítem 11,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,47,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 12,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,48,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 13,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,49,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 14,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,50,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 15,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,51,oficio-escala.png?v=3,foto,E4 Ítem 16,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,52,oficio-equipo-ctrl.png?v=3,foto,E4 Ítem 17,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,53,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 18,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,54,oficio-escala.png?v=3,foto,E4 Ítem 19,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,55,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 20,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,56,oficio-manometro.png?v=3,foto,E4 Ítem 21,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,57,oficio-tramos.png?v=3,foto,E4 Ítem 22,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,58,oficio-drenaje.png?v=3,foto,E4 Ítem 23,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,59,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 24,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,60,oficio-plano-leyenda.png?v=3,foto,E4 Ítem 25,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,61,oficio-plano-leyenda.png?v=3,foto,E5 Retroalimentación,Frame del error en cada pregunta incorrecta,1
